# ----------------------------------------
# Traffic acquisition: Session primary channel group (Default Channel Group)
# Account: Sajt koncar
# Property: Koncarelektro
# ----------------------------------------
# 
# All Users
# Start date: 20260525
# End date: 20260621
Session primary channel group (Default Channel Group),Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Organic Search,7666,4960,0.6470127837203236,85.25502217584138,14.487346725802244,111060,4594,0.5773545525697886,646647.000235
Direct,752,328,0.43617021276595747,43.962765957446805,10.139627659574469,7625,484,0.636968085106383,23699.000076
Unassigned,742,479,0.6455525606469003,66.30188679245283,10.859838274932615,8058,520,0.6671159029649596,188493.999844
Organic Social,179,125,0.6983240223463687,631.1508379888268,27.625698324022345,4945,72,0.4022346368715084,0
Referral,36,25,0.6944444444444444,43.583333333333336,10.38888888888889,374,23,0.6388888888888888,0
AI Assistant,34,13,0.38235294117647056,24.705882352941178,9.382352941176471,319,31,0.8529411764705882,14589.999977
Paid Social,1,0,0,0,3,3,0,0,0
