Country,Clicks,Impressions,CTR,Position
Guinea-Bissau,0,1,0%,17
Vanuatu,0,1,0%,26
São Tomé & Príncipe,0,1,0%,27
Guam,0,1,0%,39
Fiji,0,1,0%,49
French Polynesia,0,1,0%,49
Barbados,0,1,0%,53
Sierra Leone,0,1,0%,58
Cape Verde,0,1,0%,59
Sint Maarten,0,1,0%,60
Belize,0,1,0%,62
Aruba,0,1,0%,67
Timor-Leste,0,1,0%,67
