path,final_path,source,status,issues,baseline_title,local_title,local_canonical,expected_canonical,local_h1,baseline_h1,jsonld_types
"/prodavnica/akumulatorski-alat/akumulatorske-brusilice/makita-dga504rtj-akumulatorska-ugaona-brusilica","/prodavnica/akumulatorski-alat/akumulatorske-brusilice/makita-dga504rtj-akumulatorska-ugaona-brusilica","sample_product","200","OK","Makita DGA504RTJ Akumulatorska ugaona brusilica cena | Kupovina online - Končar Elektro -trgovina el","Makita DGA504RTJ Akumulatorska ugaona brusilica cena | Kupovina online - Končar Elektro -trgovina el","https://koncarelektro.rs/prodavnica/akumulatorski-alat/akumulatorske-brusilice/makita-dga504rtj-akumulatorska-ugaona-brusilica/","https://koncarelektro.rs/prodavnica/akumulatorski-alat/akumulatorske-brusilice/makita-dga504rtj-akumulatorska-ugaona-brusilica/","Makita DGA504RTJ Akumulatorska ugaona brusilica","Makita DGA504RTJ Akumulatorska ugaona brusilica","BreadcrumbList+Organization+Product+WebSite"
"/prodavnica/akumulatorski-alat/akumulatorske-busilice-odvijaci/makita-akumulatorska-ugaona-busilica-da001gz","/prodavnica/akumulatorski-alat/akumulatorske-busilice-odvijaci/makita-akumulatorska-ugaona-busilica-da001gz","sample_product","200","OK","Makita Akumulatorska ugaona bušilica DA001GZ cena | Kupovina online - Končar Elektro -trgovina elekt","Makita Akumulatorska ugaona bušilica DA001GZ cena | Kupovina online - Končar Elektro -trgovina elekt","https://koncarelektro.rs/prodavnica/akumulatorski-alat/akumulatorske-busilice-odvijaci/makita-akumulatorska-ugaona-busilica-da001gz/","https://koncarelektro.rs/prodavnica/akumulatorski-alat/akumulatorske-busilice-odvijaci/makita-akumulatorska-ugaona-busilica-da001gz/","Makita Akumulatorska ugaona bušilica DA001GZ","Makita Akumulatorska ugaona bušilica DA001GZ","BreadcrumbList+Organization+Product+WebSite"
"/prodavnica/akumulatorski-alat/akumulatorske-brusilice/ingcom-lithium-ion-ugaona-brusilica-ag110018","/prodavnica/akumulatorski-alat/akumulatorske-brusilice/ingcom-lithium-ion-ugaona-brusilica-ag110018","sample_product","200","OK","INGCO Ugaona brusilica AG110018 cena | Kupovina online - Končar Elektro -trgovina električnog, ručno","INGCO Ugaona brusilica AG110018 cena | Kupovina online - Končar Elektro -trgovina električnog, ručno","https://koncarelektro.rs/prodavnica/akumulatorski-alat/akumulatorske-brusilice/ingcom-lithium-ion-ugaona-brusilica-ag110018/","https://koncarelektro.rs/prodavnica/akumulatorski-alat/akumulatorske-brusilice/ingcom-lithium-ion-ugaona-brusilica-ag110018/","","INGCO Ugaona brusilica AG110018","Organization+WebSite"
"/prodavnica/akumulatorski-alat/baterije/li-on-baterija-za-ruksak-36v-pdc1200a01-makita","/prodavnica/akumulatorski-alat/baterije/li-on-baterija-za-ruksak-36v-pdc1200a01-makita","sample_product","200","OK","Li-on baterija za ruksak 36V PDC1200A01 Makita cena | Kupovina online - Končar Elektro -trgovina ele","Li-on baterija za ruksak 36V PDC1200A01 Makita cena | Kupovina online - Končar Elektro -trgovina ele","https://koncarelektro.rs/prodavnica/akumulatorski-alat/baterije/li-on-baterija-za-ruksak-36v-pdc1200a01-makita/","https://koncarelektro.rs/prodavnica/akumulatorski-alat/baterije/li-on-baterija-za-ruksak-36v-pdc1200a01-makita/","Li-on baterija za ruksak 36V PDC1200A01 Makita","Li-on baterija za ruksak 36V PDC1200A01 Makita","BreadcrumbList+Organization+Product+WebSite"
"/prodavnica/elektricni-alat/testere-i-cirkulari/rucna-kruzna-testera-2000w-5903r","/prodavnica/elektricni-alat/testere-i-cirkulari/rucna-kruzna-testera-2000w-5903r","sample_product","200","OK","Ručna kružna testera 2000W 5903R MAKITA cena | Kupovina online - Končar Elektro -trgovina električno","Ručna kružna testera 2000W 5903R MAKITA cena | Kupovina online - Končar Elektro -trgovina električno","https://koncarelektro.rs/prodavnica/elektricni-alat/testere-i-cirkulari/rucna-kruzna-testera-2000w-5903r/","https://koncarelektro.rs/prodavnica/elektricni-alat/testere-i-cirkulari/rucna-kruzna-testera-2000w-5903r/","","Ručna kružna testera 2000W 5903R MAKITA","Organization+WebSite"
"/prodavnica/akumulatorski-alat/akumulatorske-testere-i-cirkulari/aku-rucna-kruzna-testera-za-metal-18v-dcs553z-makita","/prodavnica/akumulatorski-alat/akumulatorske-testere-i-cirkulari/aku-rucna-kruzna-testera-za-metal-18v-dcs553z-makita","sample_product","200","OK","Akumulatorska ručna kružna testera za metal 18V - DCS553Z MAKITA cena | Kupovina online - Končar Ele","Akumulatorska ručna kružna testera za metal 18V - DCS553Z MAKITA cena | Kupovina online - Končar Ele","https://koncarelektro.rs/prodavnica/akumulatorski-alat/akumulatorske-testere-i-cirkulari/aku-rucna-kruzna-testera-za-metal-18v-dcs553z-makita/","https://koncarelektro.rs/prodavnica/akumulatorski-alat/akumulatorske-testere-i-cirkulari/aku-rucna-kruzna-testera-za-metal-18v-dcs553z-makita/","","Akumulatorska ručna kružna testera za metal 18V &#8211; DCS553Z MAKITA","Organization+WebSite"
"/prodavnica/akumulatorski-alat/akumulatorske-brusilice/akumulatorska-ugaona-brusilica-dga452rfj-18v-makita","/prodavnica/akumulatorski-alat/akumulatorske-brusilice/akumulatorska-ugaona-brusilica-dga452rfj-18v-makita","sample_product","200","OK","Akumulatorska ugaona brusilica DGA452RFJ 18V MAKITA cena | Kupovina online - Končar Elektro -trgovin","Akumulatorska ugaona brusilica DGA452RFJ 18V MAKITA cena | Kupovina online - Končar Elektro -trgovin","https://koncarelektro.rs/prodavnica/akumulatorski-alat/akumulatorske-brusilice/akumulatorska-ugaona-brusilica-dga452rfj-18v-makita/","https://koncarelektro.rs/prodavnica/akumulatorski-alat/akumulatorske-brusilice/akumulatorska-ugaona-brusilica-dga452rfj-18v-makita/","Akumulatorska ugaona brusilica DGA452RFJ 18V MAKITA","Akumulatorska ugaona brusilica DGA452RFJ 18V MAKITA","BreadcrumbList+Organization+Product+WebSite"
"/prodavnica/kompresori-i-pneumatski-alati/elektricni-kompresori-bezuljni/kompresor-za-vazduh-6l-mac610-makita","/prodavnica/kompresori-i-pneumatski-alati/elektricni-kompresori-bezuljni/kompresor-za-vazduh-6l-mac610-makita","sample_product","200","OK","Kompresor za vazduh 6L MAC610 MAKITA cena | Kupovina online - Končar Elektro -trgovina električnog, ","Kompresor za vazduh 6L MAC610 MAKITA cena | Kupovina online - Končar Elektro -trgovina električnog, ","https://koncarelektro.rs/prodavnica/kompresori-i-pneumatski-alati/elektricni-kompresori-bezuljni/kompresor-za-vazduh-6l-mac610-makita/","https://koncarelektro.rs/prodavnica/kompresori-i-pneumatski-alati/elektricni-kompresori-bezuljni/kompresor-za-vazduh-6l-mac610-makita/","Kompresor za vazduh 6L MAC610  MAKITA","Kompresor za vazduh 6L MAC610 MAKITA","BreadcrumbList+Organization+Product+WebSite"
"/prodavnica/elektricni-alat/ger-masine/ger-potezni-kgs-254-plus-metabo","/prodavnica/elektricni-alat/ger-masine/ger-potezni-kgs-254-plus-metabo","sample_product","200","OK","Ger potezni KGS 254 Plus (0102540300) METABO cena | Kupovina online - Končar Elektro -trgovina elekt","Ger potezni KGS 254 Plus (0102540300) METABO cena | Kupovina online - Končar Elektro -trgovina elekt","https://koncarelektro.rs/prodavnica/elektricni-alat/ger-masine/ger-potezni-kgs-254-plus-metabo/","https://koncarelektro.rs/prodavnica/elektricni-alat/ger-masine/ger-potezni-kgs-254-plus-metabo/","","Ger potezni KGS 254 Plus (0102540300) METABO","Organization+WebSite"
"/prodavnica/agregati/oprema-za-agregate/ats-uredjaj-za-automatsko-pokretanje-agregata-gardenmaster","/prodavnica/agregati/oprema-za-agregate/ats-uredjaj-za-automatsko-pokretanje-agregata-gardenmaster","sample_product","200","OK","ATS Uređaj Za Automatsko Pokretanje Agregata GARDENmaster cena | Kupovina online - Končar Elektro -t","ATS Uređaj Za Automatsko Pokretanje Agregata GARDENmaster cena | Kupovina online - Končar Elektro -t","https://koncarelektro.rs/prodavnica/agregati/oprema-za-agregate/ats-uredjaj-za-automatsko-pokretanje-agregata-gardenmaster/","https://koncarelektro.rs/prodavnica/agregati/oprema-za-agregate/ats-uredjaj-za-automatsko-pokretanje-agregata-gardenmaster/","","ATS Uređaj Za Automatsko Pokretanje Agregata GARDENmaster","Organization+WebSite"
