url,type,baseline_status,pathname,audit_status,reason,detail
"https://koncarelektro.rs/prodavnica/aparati-za-varenje/inverterski-aparati/aparat-za-mig-mag-zavarivanje-varstroj-varmig-351-supermig/","product","200","/prodavnica/aparati-za-varenje/inverterski-aparati/aparat-za-mig-mag-zavarivanje-varstroj-varmig-351-supermig","ok","","aparat-za-mig-mag-zavarivanje-varstroj-varmig-351-supermig"
"https://koncarelektro.rs/prodavnica/akumulatorski-alat/akumulatorske-ger-masine/ingco-kruzna-testera-ger-bmis16002/","product","200","/prodavnica/akumulatorski-alat/akumulatorske-ger-masine/ingco-kruzna-testera-ger-bmis16002","ok","","ingco-kruzna-testera-ger-bmis16002"
"https://koncarelektro.rs/prodavnica/aparati-za-varenje/inverterski-aparati/inverter-varin-2505-e-gen-varstroj/","product","200","/prodavnica/aparati-za-varenje/inverterski-aparati/inverter-varin-2505-e-gen-varstroj","ok","","inverter-varin-2505-e-gen-varstroj"
"https://koncarelektro.rs/prodavnica/elektricni-alat/testere-i-cirkulari/makita-4350ct-oscilujuca-ubodna-testera-720w/","product","200","/prodavnica/elektricni-alat/testere-i-cirkulari/makita-4350ct-oscilujuca-ubodna-testera-720w","ok","","makita-4350ct-oscilujuca-ubodna-testera-720w"
"https://koncarelektro.rs/prodavnica/elektricni-alat/peraci/perac-pod-pritiskom-hyb-100b-hyundai/","product","200","/prodavnica/elektricni-alat/peraci/perac-pod-pritiskom-hyb-100b-hyundai","ok","","perac-pod-pritiskom-hyb-100b-hyundai"
"https://koncarelektro.rs/prodavnica/ponuda/aparat-za-zavarivanje-mma-160-s-hyundai/","product","200","/prodavnica/ponuda/aparat-za-zavarivanje-mma-160-s-hyundai","ok","","aparat-za-zavarivanje-mma-160-s-hyundai"
"https://koncarelektro.rs/prodavnica/oprema-za-dvoriste/hs14-24-aluminijumske-makaze-za-zivu-ogradu-dolomite-2/","product","200","/prodavnica/oprema-za-dvoriste/hs14-24-aluminijumske-makaze-za-zivu-ogradu-dolomite-2","ok","","hs14-24-aluminijumske-makaze-za-zivu-ogradu-dolomite-2"
"https://koncarelektro.rs/prodavnica/ponuda/elektro-maschinen-klipni-kompresor-e-500-9-270-rem-power/","product","200","/prodavnica/ponuda/elektro-maschinen-klipni-kompresor-e-500-9-270-rem-power","ok","","elektro-maschinen-klipni-kompresor-e-500-9-270-rem-power"
"https://koncarelektro.rs/prodavnica/ponuda/punjac-baterije-za-akumulatorski-alat-40v-ze40c5-dolomite/","product","200","/prodavnica/ponuda/punjac-baterije-za-akumulatorski-alat-40v-ze40c5-dolomite","ok","","punjac-baterije-za-akumulatorski-alat-40v-ze40c5-dolomite"
"https://koncarelektro.rs/prodavnica/aparati-za-varenje/tig-aparati/aparat-za-tig-varanje-vartig-3500-digit-dc-w-varstroj/","product","200","/prodavnica/aparati-za-varenje/tig-aparati/aparat-za-tig-varanje-vartig-3500-digit-dc-w-varstroj","ok","","aparat-za-tig-varanje-vartig-3500-digit-dc-w-varstroj"
